AcademicYearKey,AcademicYearSort,AcademicYearStart,AcademicYearEnd,AcademicYearLabel,PostPandemicFlag,IsLatestAcademicYear
2006/07,2006,2006,2007,2006/07,Pre/during pandemic,False
2007/08,2007,2007,2008,2007/08,Pre/during pandemic,False
2008/09,2008,2008,2009,2008/09,Pre/during pandemic,False
2009/10,2009,2009,2010,2009/10,Pre/during pandemic,False
2010/11,2010,2010,2011,2010/11,Pre/during pandemic,False
2011/12,2011,2011,2012,2011/12,Pre/during pandemic,False
2012/13,2012,2012,2013,2012/13,Pre/during pandemic,False
2013/14,2013,2013,2014,2013/14,Pre/during pandemic,False
2014/15,2014,2014,2015,2014/15,Pre/during pandemic,False
2015/16,2015,2015,2016,2015/16,Pre/during pandemic,False
2016/17,2016,2016,2017,2016/17,Pre/during pandemic,False
2017/18,2017,2017,2018,2017/18,Pre/during pandemic,False
2018/19,2018,2018,2019,2018/19,Pre/during pandemic,False
2020/21,2020,2020,2021,2020/21,Pre/during pandemic,False
2021/22,2021,2021,2022,2021/22,Post-pandemic,False
2022/23,2022,2022,2023,2022/23,Post-pandemic,False
2023/24,2023,2023,2024,2023/24,Post-pandemic,False
2024/25,2024,2024,2025,2024/25,Post-pandemic,True
